pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.15206	0.48358	-0.38054	0.13156	0.23855	0.13573	-1.28985	-0.24210	0.04544	0.02010	0.04362	-0.79005	0.35078	0.30420	-0.78322	-0.00200	-0.13105	-0.23125	0.25320	-0.00762	-0.00669	0.33064	-0.11928	0.43760	0.61324	-0.00246	-0.07798	-0.31994	-0.04077	-0.07825	0.25208	0.12554	0.52636	-0.10828	0.62478	-0.68380	-0.20513	-0.11779	-0.56378	-0.03781	0.17415	0.14076	0.31962	0.08719	0.32095	0.06566	0.00971	0.52323	-0.66177	-0.39806	-0.05336	0.61027	0.45857	-0.60442	0.76156	0.27831	0.11549	0.38255	0.98074	-0.16708	-0.16874	0.04205	0.60351	-0.12632	(Past $e0)
p200006	-0.09871	0.00696	-0.15283	-0.01118	-0.06875	0.01562	-0.05399	0.00823	0.05235	0.04168	0.01290	-0.13365	-0.14186	-0.02907	0.47034	-0.00496	-0.12266	-0.09277	0.17193	1.62530	0.25345	0.16164	0.22203	-0.00464	0.10692	-0.03813	1.12452	-0.24651	0.30339	-0.08060	0.05803	0.51482	-0.14769	0.76514	0.18342	0.09311	-0.14540	-0.10676	-0.48690	-0.25459	-0.31353	0.29669	0.03382	0.31174	0.02466	-0.08077	0.11080	0.17032	-0.06544	0.02856	0.01391	-0.03465	0.23082	0.17328	-0.16173	0.10363	0.22952	0.21079	-0.16599	0.16659	0.14326	0.09672	-0.07558	-0.15913	(Agent $e0 $x0)
p200011	-0.02679	0.13598	-0.14555	-0.21056	-0.03695	0.09343	-0.00839	-0.05083	0.01374	-0.01112	-0.00326	0.00960	0.12859	-0.07127	0.04827	-0.00790	0.09799	-0.15455	0.08123	-0.12347	0.18158	0.03868	0.01607	-0.13312	0.01192	2.37663	0.03747	-0.16239	-0.11780	0.05023	0.05862	-0.07678	0.01405	0.27924	0.08761	0.12094	-0.09154	0.18056	0.19312	-0.00817	0.01711	0.07987	0.02397	-0.07135	0.01938	0.12371	0.01738	0.17594	0.07353	-0.06749	0.20154	0.13094	-0.13380	0.31271	-0.27316	0.04037	0.00524	0.14474	-0.03354	-0.11653	-0.07408	0.22301	-0.12000	-0.02707	(Theme $e0 $x0)
p200017	0.02608	-0.19179	0.09520	0.15678	0.03529	-0.00644	0.08825	0.03514	0.03160	-0.02240	-0.10303	-0.13193	0.15807	0.14558	0.06008	2.33888	-0.06431	0.01595	0.15266	-0.05535	0.01013	-0.02390	0.02427	0.04002	-0.02863	0.01420	0.04307	0.00510	0.18526	0.01765	-0.05062	-0.01051	-0.17266	0.03689	-0.05119	-0.08076	0.04168	0.09132	-0.13275	-0.02381	-0.01107	-0.05340	-0.00338	0.12508	0.01252	-0.02569	-0.01426	0.13810	0.15442	0.10994	-0.11801	0.02719	-0.05244	0.00953	-0.03621	-0.00081	0.06494	-0.03977	0.02967	-0.12973	0.08906	-0.15719	-0.08283	0.00349	(Patient $e0 $x0)
p200022	-0.07333	0.14243	-0.17181	-0.01959	0.19644	0.01155	0.02289	-0.00798	0.19133	-0.25926	-0.00569	0.02863	-0.06355	-0.07575	0.02364	-0.03943	0.03281	0.04728	-0.33841	-0.11783	0.09155	0.17530	0.19756	0.03845	-0.08739	0.13179	0.03944	-0.02777	0.07144	0.18309	0.09136	-0.14082	0.12915	1.67776	0.01655	0.04425	-0.08755	-0.20713	-0.06446	-0.15760	-0.23822	-0.07782	-0.03799	-0.09882	-0.00619	0.07996	-0.00607	0.03247	0.23505	-0.17092	0.12693	-0.04714	0.29675	0.19440	-0.08617	-0.03565	-0.08529	-0.03602	-0.03135	-0.03539	0.25417	0.32739	0.14748	-0.04392	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200024	-0.04702	0.02253	0.08985	-0.03808	0.08323	-0.08632	-0.09967	-0.01071	-0.12805	-0.06557	0.00287	-0.03649	0.08888	-0.04269	-0.11026	0.00395	0.01401	-0.04651	-0.15313	0.02683	0.01547	-0.01221	-0.08846	0.05268	-0.01686	-0.00805	-0.04778	0.03553	-0.05865	0.07373	0.08626	2.04247	-0.12438	-0.02469	0.06264	0.00837	-0.02212	-0.08337	-0.03631	0.01581	-0.11888	0.12758	0.14859	-0.07930	-0.05266	-0.07037	0.01223	0.07152	-0.05544	0.03998	0.08923	0.18728	-0.12869	-0.06484	-0.04510	-0.01946	-0.00362	-0.05884	-0.11989	0.37066	0.00442	0.03748	-0.00634	0.01590	(And (Agent $e0 $x0) (Past $e0))
p200036	-0.05110	0.47463	0.04835	-0.52719	-0.15581	-0.10692	-0.30380	-0.14207	-0.12145	0.15664	0.18818	0.15435	-0.19547	-0.01095	-0.15615	0.64426	0.15201	-0.22333	-0.28071	-0.05658	0.12014	0.12908	0.04416	-0.18181	0.08205	-0.05971	-0.07704	-0.10028	-0.09332	0.06755	-0.09434	-0.06953	1.61035	0.00190	-0.16753	0.19323	-0.05090	-0.07106	0.05304	-0.09892	-0.10276	0.29415	0.06365	-0.07088	-0.08079	-0.02543	0.01196	-0.29547	-0.03623	-0.36423	0.18448	-0.16744	-0.08328	-0.32262	-0.03427	-0.06461	0.03133	0.27795	-0.09695	0.35679	0.20278	0.16063	0.10124	-0.01225	(And (Past $e0) (Patient $e0 $x0))
p200038	1.37851	-0.09761	-0.13802	0.06162	-0.03729	-0.16366	-0.07185	-0.01879	0.11468	0.11129	-0.19316	0.08213	-0.07548	0.02022	0.04723	0.00339	0.03789	-0.12191	-0.19345	0.11228	-0.09390	0.11134	-0.04665	0.21999	-0.09528	0.04038	-0.17899	0.05863	0.03194	-0.18213	0.14801	-0.07597	-0.03201	-0.03597	0.03453	-0.18981	-0.06116	-0.03196	-0.34412	0.06564	0.04988	0.30038	0.09487	-0.00159	-0.60247	1.20447	0.41118	0.03305	-0.16618	-0.00740	0.02668	0.06444	-0.26909	-0.04255	-0.02170	-0.01181	0.26704	-0.21216	-0.11278	0.01872	-0.04839	0.10845	0.14363	-0.00258	(Ongoing $e0)
p200040	0.13682	-0.18081	0.09873	0.30422	-0.00752	-0.06363	0.04991	0.05528	0.18828	-0.01228	-0.10369	-0.11821	0.08389	0.13835	0.01771	-0.00908	0.12221	0.17140	0.21123	-0.01162	-0.17062	-0.06098	-0.03185	-0.03687	-0.05465	0.64500	-0.09882	0.05477	0.02672	0.09278	0.11407	0.17407	-0.09543	0.01069	-0.37471	0.00375	0.22035	0.17220	-0.12248	0.00375	0.01627	-0.06669	-0.14156	0.09558	0.03882	-0.23691	-0.04286	-0.24183	-0.07229	0.09416	-0.25217	-0.24789	-0.02349	-0.33757	1.60848	-0.12586	0.01760	-0.08477	-0.18486	0.00376	-0.01764	-0.22967	0.18078	0.03204	(And (Past $e0) (Theme $e0 $x0))
p200045	-0.01269	0.02043	0.20698	-0.13642	0.08863	0.09217	-0.05491	-0.09168	-0.32066	0.08782	-0.04651	-0.32469	0.23992	0.11389	-0.06849	0.01035	0.11239	-0.21899	0.05850	-0.00023	-0.85453	0.19331	1.60457	0.05220	-0.01581	0.01594	-0.02207	-0.08671	-0.14239	-0.19080	-0.54356	0.05142	-0.07967	-0.01219	-0.04323	0.01751	0.16907	-0.07375	-0.15129	1.23670	0.31011	-0.06229	-0.38705	-0.13960	-0.09733	0.07764	0.02599	0.07396	-0.11479	-0.04608	0.01775	0.04690	0.06448	0.09780	0.03120	0.06620	0.05343	-0.00535	-0.12134	0.27002	0.07013	0.33744	-0.20645	-0.04742	(Experiencer $e0 $x0)
