pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.32145	-0.83108	-0.02593	-0.15317	-0.04276	-0.05877	0.00123	0.33553	0.35295	-0.02248	0.47414	0.31634	0.15535	-0.03248	0.18206	-0.05555	0.11917	0.37505	0.47738	0.38529	0.06047	-0.46952	0.04334	0.76783	0.58643	-0.15442	0.33604	-0.72491	0.02675	-0.02870	-0.05811	-0.09804	0.31654	0.35111	0.45476	0.56223	-0.03829	-0.11139	-0.29159	0.90123	-0.39025	-0.59712	0.33125	-0.32948	0.45607	0.55894	0.32523	-0.25726	-0.70178	-0.13375	-0.03941	-0.04749	0.45167	0.41072	-0.31230	0.72614	0.05183	-0.23130	-0.06441	0.33234	-1.02142	-0.26973	-0.05050	0.54475	(Past $e0)
p200009	0.60893	-0.36415	-0.00283	0.27359	1.82808	-0.02941	-0.09704	-0.02814	-0.08310	-0.39324	0.25693	0.10384	-0.26272	-0.11274	0.06502	0.02143	0.15299	0.29963	0.21283	-0.01158	0.16649	-0.05107	0.01542	-0.08986	-0.18270	-0.05108	-0.13787	-0.08769	-0.02649	0.03673	-0.03502	0.08607	-0.02042	0.43062	-0.08099	0.11533	0.51489	-0.07010	0.49597	-0.25763	0.59137	-0.21933	-0.11466	0.13311	0.01910	-0.25350	0.37925	-0.04299	-0.54632	0.68421	0.01434	-0.09296	0.15874	0.01127	-0.22102	-0.04902	0.14292	0.02554	-0.01761	0.06452	0.09834	-0.24914	0.02874	-0.02975	(Agent $e0 $x0)
p200011	-0.03584	-0.04433	0.01369	-0.10698	-0.10429	0.01354	0.00070	0.08180	-0.01302	0.03572	0.04373	-0.10200	0.23077	0.02145	-0.02348	0.00215	0.04745	0.09192	0.13803	-0.01708	-0.06348	0.03236	-0.00773	0.01861	-0.01407	-0.07589	-0.04646	0.06122	2.46371	-0.01140	-0.04291	0.01161	0.10893	0.04493	-0.07941	-0.01948	0.07930	0.00073	0.03362	-0.10130	0.06404	-0.03631	-0.13757	0.00139	-0.02120	-0.01808	-0.01354	0.15593	-0.08834	0.01210	-0.01563	0.00182	0.02625	-0.08981	-0.05448	-0.02134	0.09345	0.11992	-0.00621	0.03956	0.03287	0.03660	-0.09573	0.02275	(Patient $e0 $x0)
p200012	-0.01112	-0.06155	-0.00924	0.01949	-0.09956	0.01262	-0.01087	-0.01957	-0.03184	-0.04058	-0.06700	0.03458	0.01801	0.01312	0.05805	0.13453	0.07978	0.02973	0.03008	-0.06015	-0.02617	-0.02146	2.43643	0.02062	-0.01861	0.09300	-0.00675	0.01711	0.00722	-0.00178	0.02758	-0.00489	-0.02117	0.07967	0.11054	-0.04720	0.01441	0.00535	0.05509	-0.05967	0.07168	0.08465	-0.12610	-0.02901	0.04883	-0.02141	-0.00127	-0.05262	0.12911	0.09707	-0.01255	-0.04082	0.03389	0.04474	0.12203	-0.04496	-0.00674	-0.04084	-0.00391	0.13443	0.02727	-0.02760	-0.00688	-0.03488	(Theme $e0 $x0)
p200021	0.10261	0.07016	-0.08183	-0.11349	-0.01577	-0.03115	-0.01068	-0.11060	-0.06160	0.07738	0.02814	-0.07604	-0.07206	0.00322	0.06425	-0.05432	0.19533	-0.11539	-0.05277	-0.07484	-0.01556	-0.05785	0.01451	0.00782	-0.09301	0.04702	0.00164	0.21082	0.01304	0.05618	0.06827	-0.02271	-0.01157	-0.08140	0.09714	-0.02686	0.15460	0.01674	-0.12486	-0.03068	0.02729	0.08852	0.08415	0.00230	0.01881	-0.01669	2.13461	0.03364	-0.01742	-0.06750	-0.01067	0.04956	-0.16826	-0.00427	0.03127	0.08061	-0.04881	0.06716	0.01387	0.08109	-0.07480	0.04518	-0.03217	0.01907	(And (Agent $e0 $x0) (Past $e0))
p200027	-0.01460	-0.05041	-0.06386	0.07305	-0.01333	-0.04018	0.02600	-0.08010	-0.00886	-0.03040	-0.03392	0.02202	-0.00629	-0.01577	-0.00318	0.00586	0.03033	0.01297	-0.03145	-0.14223	0.04511	0.03243	-0.01534	-0.12870	-0.03540	-0.03731	0.03174	-0.01759	0.11675	0.02327	0.03395	0.11042	2.15043	-0.04290	0.09556	-0.06236	0.00332	-0.01756	0.07346	0.03487	0.01407	0.12974	-0.01956	-0.00654	-0.08562	-0.05986	-0.02891	-0.06281	0.03883	0.02462	0.00767	-0.09356	-0.05803	-0.03220	0.07797	0.01050	0.06646	-0.01968	0.04018	-0.00699	-0.11063	0.01954	-0.00817	0.02609	(And (Past $e0) (Patient $e0 $x0))
p200029	0.01421	-0.09062	-0.02738	-0.05910	-0.02627	0.07036	0.06727	-0.12795	0.03285	0.13658	0.13199	-0.04930	-0.00851	-0.00682	0.12246	-0.01441	0.09996	0.00020	0.06792	-0.20268	0.03450	-0.03517	-0.02309	-0.09937	-0.03816	-0.15729	-0.02116	0.02247	-0.02314	0.12811	0.16220	-0.03460	0.02837	-0.07169	-0.05143	0.07083	0.06341	-0.01212	-0.03083	0.00744	0.04685	-0.13720	0.00895	0.06729	0.00380	0.01631	-0.03117	0.06857	0.15786	-0.02994	-0.01119	0.07187	0.08726	0.07762	0.06333	0.03135	0.01953	-0.06075	-0.00427	0.02667	-0.00410	0.07138	2.09054	0.09241	(Ongoing $e0)
p200036	0.00384	0.06670	0.02793	-0.01675	0.03034	0.05354	0.04498	-0.05492	0.03764	0.01111	-0.00704	0.04027	0.04441	0.05513	0.03982	0.04188	0.02437	0.00355	0.01870	0.03351	-0.07799	-0.03432	-0.00930	-0.01831	-0.00193	0.01623	-0.06819	0.00846	-0.01385	0.05444	-0.08802	0.06010	0.01302	0.01850	-0.00425	-0.01185	-0.02969	-0.01718	-0.03198	-0.03184	0.00911	-0.11082	0.02888	0.04643	0.01397	-0.02775	-0.00327	0.12854	0.00980	-0.03399	-0.00983	-0.05637	0.06051	0.04231	-0.04479	-0.01698	0.06666	0.02345	2.24446	-0.03134	0.08235	0.06795	-0.00533	-0.00919	(Experiencer $e0 $x0)
p200040	0.04143	0.05955	0.01646	-0.01277	-0.01952	0.00703	-0.03108	-0.04166	2.05905	0.01445	-0.01066	-0.12467	-0.01062	-0.00691	-0.12226	-0.01279	-0.04560	0.00879	0.03555	-0.04707	0.01767	0.12130	0.23430	-0.07228	-0.04472	0.02395	-0.11148	-0.04898	-0.00730	0.03877	0.01255	0.02079	-0.04348	-0.01356	-0.07789	-0.02236	0.07887	-0.00784	0.01655	-0.00839	-0.01514	-0.06858	0.02330	0.08533	-0.10454	-0.03188	0.02726	0.01081	0.05096	-0.07849	0.00369	-0.01828	0.03897	-0.11552	-0.04157	0.08532	0.05190	0.06837	0.02639	-0.10226	-0.06842	0.17036	-0.02392	0.02875	(And (Past $e0) (Theme $e0 $x0))
p200048	-0.08243	-0.18572	1.81659	-0.02557	0.08949	-0.00874	0.02631	-0.11308	-0.05267	0.08215	-0.03288	-0.07070	-0.11250	0.05237	0.08909	-0.06727	0.12150	0.11093	-0.07627	-0.10880	0.01836	-0.12749	-0.00860	0.02180	0.01249	-0.04174	-0.02720	0.27621	0.00593	0.09502	0.07012	0.01472	-0.05432	-0.10538	0.30534	-0.04245	0.09509	-0.00905	-0.02390	0.08545	-0.04771	-0.13219	0.07350	0.06849	0.05224	-0.03148	-0.03666	0.03259	0.04327	0.00288	-0.01328	-0.00642	-0.10944	-0.13701	0.05557	0.07836	0.08380	0.17394	0.00630	0.08198	-0.05163	0.02941	0.01602	-0.01662	(Location $e0 $x0)
