(: drumgoon_name (Name drumgoon "Drumgoon") (STV 1.0 0.99))
(: e_wear (Member sk_wear_1 wear) (STV 1.0 0.99))
(: e_agent (Agent sk_wear_1 drumgoon) (STV 1.0 0.99))
(: jersey_typ (Member sk_jersey_1 jersey) (STV 1.0 0.99))
(: jersey_color (Member sk_jersey_1 yellow) (STV 1.0 0.99))
(: e_theme1 (Theme sk_wear_1 sk_jersey_1) (STV 1.0 0.99))
(: shorts_typ (Member sk_shorts_1 shorts) (STV 1.0 0.99))
(: e_theme2 (Theme sk_wear_1 sk_shorts_1) (STV 1.0 0.99))
(: sock_typ (Member sk_socks_1 sock) (STV 1.0 0.99))
(: e_theme3 (Theme sk_wear_1 sk_socks_1) (STV 1.0 0.99))
(: trim_typ (Member sk_trim_1 trim) (STV 1.0 0.99))
(: trim_color (Member sk_trim_1 blue) (STV 1.0 0.99))
(: trim_part (PartOf sk_trim_1 sk_socks_1) (STV 1.0 0.99))
(: e_manner (Manner sk_wear_1 traditionally) (STV 1.0 0.99))
(: e_past (Past sk_wear_1) (STV 1.0 0.99))
