pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	0.19913	-0.04849	0.51787	-0.62651	0.41500	0.30027	-0.66704	-0.17560	0.21216	-0.81076	1.59335	1.57192	0.09533	-0.56150	0.24223	-0.01916	(Past $e0)
p200009	-0.07739	0.03415	-0.27191	-0.47060	0.88042	0.00535	-0.21801	-1.00632	0.26962	1.08846	-0.49054	0.24252	0.68532	-1.03591	1.29576	0.27508	(Agent $e0 $x0)
p200011	1.59423	0.20995	1.05010	-0.20850	0.07781	-0.04095	-0.20605	-0.42356	0.09527	0.06138	-0.22083	-0.38987	-0.26717	0.04595	0.00601	-0.19771	(Patient $e0 $x0)
p200012	0.23978	-0.11422	-0.55746	-0.22806	-0.05550	-0.08137	-0.18753	-1.15467	1.55369	0.46244	0.45634	-0.39211	0.68263	0.35121	-0.46978	-0.13689	(Theme $e0 $x0)
p200025	-0.07641	-0.12366	0.09151	0.07017	-0.24478	0.44560	-0.07761	-0.46066	0.35177	-0.81663	-0.55674	0.45897	0.37172	-0.32206	1.25708	0.62742	(And (Agent $e0 $x0) (Past $e0))
p200030	1.11733	-0.26146	0.77195	-0.45303	0.22288	-0.06354	0.02231	-0.15143	-0.06947	-0.03596	0.11647	-0.14818	0.03686	-0.24150	0.00927	-0.40979	(And (Past $e0) (Patient $e0 $x0))
p200036	0.01678	0.02927	-0.21020	0.10558	-0.42695	0.05776	0.00679	-0.45059	1.19295	-0.45008	0.49830	-0.12634	-0.13652	0.22991	0.11699	0.14832	(And (Past $e0) (Theme $e0 $x0))
p200038	0.85194	-0.12156	-0.94657	0.26785	0.21136	-0.47149	0.38869	0.77176	-0.41318	-0.34359	0.34386	-0.33611	0.77467	-0.97698	-0.37359	1.32083	(Experiencer $e0 $x0)
p200040	-0.02335	1.86320	0.05256	0.02083	-0.06884	-0.05242	0.19808	-0.16190	-0.07048	0.02163	0.10351	-0.06215	0.23418	-0.30657	-0.01379	0.06021	(Ongoing $e0)
p200048	-0.01585	-0.06497	-0.03900	-0.25556	0.57098	-0.30928	0.41469	-0.64823	0.81038	0.18801	-0.10275	-0.43334	-0.00729	-0.27689	-0.06511	0.40749	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	-0.20121	-0.16862	0.11054	0.39497	0.05843	-0.09397	0.08888	0.04576	-0.23465	0.70355	0.75687	-0.50707	-0.16471	0.12124	0.37980	-0.00930	(Member $x0 thing)
p200051	0.21311	0.12227	-0.49426	-0.48065	0.51935	1.54661	0.28674	-0.25515	-0.12847	-0.16818	0.04230	-0.23995	-0.05683	-0.03460	-0.32412	0.02518	(Location $e0 $x0)
p200075	0.49586	-0.01579	-0.17611	-0.13791	-0.14820	0.12712	-0.39921	0.85713	0.06426	0.10539	-0.06338	-0.22682	0.06331	0.09296	0.80730	-0.48252	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	0.28530	-0.01246	-0.16975	-0.18770	-0.40634	0.13965	0.18108	-0.60016	-0.12829	0.60625	-0.06394	0.46879	-0.19022	0.03846	-0.24247	0.60619	(Theme $e0 $e1)
p200083	-0.00875	-0.02220	0.04359	0.03555	0.01487	0.08865	0.02637	0.00386	0.02806	-0.05406	-0.10022	-0.00473	-0.06194	0.02843	-0.06741	0.04522	(LocatedIn $x0 $x1)
p200093	0.12585	-0.06424	-0.16764	-0.23248	0.23253	-0.02337	-0.02092	-0.09689	-0.00468	0.08494	-0.05415	0.00011	0.20364	0.06714	-0.15690	-0.06950	(Cardinality $x0 <num>)
