pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	0.19681	-0.33274	0.07953	0.02173	-0.54535	-0.23423	0.61361	2.40365	-0.28140	-0.10980	-0.11307	-0.15862	0.43178	0.10032	0.09343	0.38845	(Past $e0)
p200009	-0.78287	-0.00755	-0.89916	0.22906	0.05058	1.99801	0.26144	-0.11086	-0.05199	-0.16071	-0.09198	-0.31547	0.35906	-0.95276	0.60033	0.28458	(Agent $e0 $x0)
p200011	-0.48658	0.03241	-0.09700	0.23516	0.01302	-0.19170	-0.20114	0.02784	0.18610	2.11175	0.00171	-0.08300	0.01697	-0.73305	0.16145	0.10704	(Patient $e0 $x0)
p200012	-0.90284	0.80456	-0.08423	0.18942	-0.08719	-0.15733	-0.09647	0.04753	-0.27600	-0.14262	1.89926	-0.31757	0.09755	-0.27751	0.14686	-0.14075	(Theme $e0 $x0)
p200025	0.20919	-0.06650	-0.28070	-0.14917	0.34187	1.19484	0.31463	0.54280	0.29316	-0.23730	-0.22375	0.17385	0.16529	-0.15896	0.12740	-0.35768	(And (Agent $e0 $x0) (Past $e0))
p200030	-0.34955	0.13284	0.08681	-0.19337	-0.13096	-0.03487	-0.36162	0.48245	-0.43745	1.27831	-0.25650	0.09099	0.05990	-0.29985	0.02007	0.06543	(And (Past $e0) (Patient $e0 $x0))
p200036	-0.24919	0.19080	0.17231	0.13552	0.15693	-0.10983	0.17713	0.49428	0.02033	-0.18032	1.11297	-0.17987	-0.34732	0.30561	-0.24733	-0.16797	(And (Past $e0) (Theme $e0 $x0))
p200038	0.59235	1.15441	-1.99231	-0.14638	0.16572	-0.26840	0.33781	0.00426	-0.11937	-0.02134	-0.26085	-0.08659	-0.78053	-0.25662	-0.14810	1.31513	(Experiencer $e0 $x0)
p200040	0.47315	0.07720	0.03423	1.70963	-0.29963	0.04295	0.39206	-0.14231	-0.02481	0.19251	-0.10419	-0.45324	-0.06875	0.13299	-0.01222	-0.14575	(Ongoing $e0)
p200048	-0.34362	0.20488	-0.09235	0.19484	0.25724	0.52805	-0.19624	-0.07993	-0.12152	-0.02811	0.69522	-0.08615	-0.45902	-0.32097	-0.16996	0.32573	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	-0.13547	-0.10166	-0.00733	0.08218	0.59278	-0.11709	-0.50013	-0.01268	0.31167	0.00888	0.22572	0.32801	-0.03711	-0.14102	-0.07394	0.52061	(Member $x0 thing)
p200051	-0.28389	0.33837	0.17368	0.26059	-0.61777	-0.05023	-0.62131	0.04762	0.12672	-0.09310	-0.01311	0.36653	-0.31027	0.70278	1.47793	0.27808	(Location $e0 $x0)
p200075	0.49987	0.09606	-0.56318	-0.26642	0.09360	0.45291	-0.20844	-0.06000	0.11930	0.53493	-0.01435	0.04783	0.14994	0.16611	0.11322	-0.29295	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	-1.05946	-0.08847	0.22740	0.08673	-0.44774	-0.02341	0.24247	-0.20549	-0.01449	0.02873	-0.07983	-0.43935	0.49994	0.16883	0.06715	0.79957	(Theme $e0 $e1)
