pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	-0.07932	-0.01369	-0.10178	-0.32899	0.18519	0.08603	0.08627	-0.17261	-0.03549	2.56801	-0.54364	-0.24359	0.19305	0.00147	-0.01403	0.19733	(Past $e0)
p200009	-0.45386	-0.11709	-0.22014	0.01660	0.46245	-0.10182	-0.37593	-0.11976	1.77547	-0.01127	-0.01829	-2.12481	-1.70498	0.22467	0.85042	0.58315	(Agent $e0 $x0)
p200011	-0.14444	0.04212	0.11381	2.08204	0.03965	0.06807	0.31909	-0.00850	0.06681	0.01575	-0.19066	-0.79033	0.25045	-0.07056	-0.11239	0.03451	(Patient $e0 $x0)
p200012	-0.48225	-0.10728	0.10761	0.11038	-0.05774	-0.11159	0.26254	1.97823	-0.02288	-0.02717	-0.25765	0.05627	-0.47402	-0.01781	-0.05564	0.48079	(Theme $e0 $x0)
p200025	0.54698	-0.19182	-0.18110	-0.22970	0.65977	-0.03035	-0.15107	-0.16344	0.37526	0.48672	1.42895	-0.34455	-1.00403	0.15530	0.48092	-0.14872	(And (Agent $e0 $x0) (Past $e0))
p200030	0.01082	-0.06830	-0.00376	1.25910	0.29227	-0.29986	0.17493	-0.20820	-0.14649	0.41957	-0.24996	-0.48902	0.09811	-0.37867	-0.05914	0.14950	(And (Past $e0) (Patient $e0 $x0))
p200036	0.23794	-0.11345	-0.09394	-0.24852	0.21315	0.18908	0.09837	1.19687	-0.29242	0.40562	0.31480	0.16234	0.10652	-0.15971	-0.07855	-0.29193	(And (Past $e0) (Theme $e0 $x0))
p200038	0.34960	2.00593	0.02451	0.09973	-0.11861	0.10847	0.27122	0.02040	-0.15469	0.04161	-0.20210	0.17923	-0.92363	-0.03847	0.11954	-0.17032	(Experiencer $e0 $x0)
p200040	-1.30665	0.01916	-0.11348	0.10952	-0.40902	1.74065	-0.24629	-0.07333	-0.10278	-0.00294	0.17608	-0.01099	-0.09637	-0.01412	0.43376	0.03695	(Ongoing $e0)
p200048	0.01805	0.18155	-0.18573	0.04161	0.11879	0.06310	-0.31941	0.80677	0.51320	-0.19146	0.00308	-0.64631	0.28052	-0.28177	0.16756	0.08389	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	0.02178	0.26001	0.01007	0.05179	0.37905	0.02913	-0.20060	0.15611	0.09930	-0.13248	-0.44212	-0.09247	0.24793	-0.17138	-0.12344	0.23687	(Member $x0 thing)
p200051	0.10546	-0.09187	1.72001	-0.01374	-0.37425	-0.01179	-0.27711	0.00146	0.05155	0.03399	-0.25577	0.02357	0.05619	-0.01478	0.57532	0.17375	(Location $e0 $x0)
p200075	0.16213	-0.13935	0.14808	0.45015	0.59925	0.00167	0.12118	-0.09515	-0.07527	-0.05753	0.53875	0.30166	-0.92761	-0.22411	0.11465	-0.33053	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	0.20816	0.06401	0.22372	0.08594	-0.42375	0.14948	0.38131	0.03930	0.67296	0.03192	-0.01503	0.19104	0.17213	0.85879	-0.42993	-0.22939	(Theme $e0 $e1)
p200083	0.04740	-0.00367	0.09507	0.00812	-0.06560	-0.03770	0.01067	0.00663	0.00801	-0.04462	0.11409	0.03282	0.08968	0.04973	0.01227	-0.06326	(LocatedIn $x0 $x1)
p200093	-0.00144	-0.04397	0.10208	0.05433	-0.11020	-0.05608	0.08288	0.00704	0.04220	-0.01783	0.13475	0.04071	-0.06543	-0.05852	-0.04140	0.25586	(Cardinality $x0 <num>)
p200100	0.17672	-0.09095	0.96201	-0.04690	-0.37617	-0.03158	-0.27618	-0.08952	-0.06735	0.18298	0.05881	0.11093	0.12929	-0.09587	0.46311	0.16991	(And (Location $e0 $x0) (Past $e0))
p200105	0.57678	0.03134	-0.16029	-0.10910	0.23278	0.21678	-0.13690	0.47103	0.08589	0.02957	0.41435	-0.15780	0.24971	-0.21403	0.03979	-0.11437	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200112	-0.73796	-0.11373	-0.05107	-0.11437	0.27847	0.63126	0.11276	-0.11380	0.11666	-0.03673	-0.14118	-0.48404	-0.43156	-0.29772	-0.00027	-0.01289	(And (Agent $e0 $x0) (Ongoing $e0))
p200114	-0.33661	0.10370	0.05090	-0.01605	0.51504	-0.21107	-0.11476	0.05156	-0.40032	-0.06613	-0.08620	-0.25411	0.02406	0.69686	0.29578	0.09971	(Member $x0 person)
p200128	-0.17388	0.16452	-0.01929	-0.04812	0.16520	-0.12805	-0.12590	0.05704	-0.02481	-0.03158	-0.03787	-0.13762	0.22163	0.27776	0.10440	0.13159	(Possession $x0 $x1)
p200133	0.03798	-0.07209	-0.07808	-0.03376	-0.24539	-0.00659	-0.02613	-0.06330	0.18148	0.13186	0.04350	-0.02151	0.00688	-0.00893	-0.01053	-0.00663	(Goal $e0 $x0)
p200137	0.33449	-0.14696	0.03744	0.39586	0.32216	-0.07329	-0.08180	-0.07235	-0.17130	0.03651	0.61168	0.66477	-0.68769	-0.11028	0.26327	-0.29145	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200160	0.14996	0.01854	0.11555	-0.04576	-0.15325	0.15421	0.40020	-0.03781	0.48939	0.10983	-0.00337	0.15591	0.12099	0.55886	-0.43716	-0.20721	(And (Past $e0) (Theme $e0 $e1))
p200163	0.12969	0.74778	0.07433	0.00188	-0.03172	0.15084	-0.23978	-0.07490	-0.05468	0.20052	-0.20347	0.19442	-0.48267	0.00013	-0.16009	0.15332	(And (Experiencer $e0 $x0) (Past $e0))
p200164	-0.03687	-0.05355	0.00035	-0.00717	-0.03698	-0.01137	0.01671	0.00420	0.03642	-0.02275	-0.01415	-0.02089	0.01332	-0.08336	0.08957	0.02004	(PartOf $x0 $x1)
p200178	-0.18049	-0.12539	-0.00122	0.02301	-0.09866	-0.06872	0.45775	-0.04373	-0.16969	-0.00078	0.24780	0.32617	-0.45790	-0.03165	-0.19388	0.77727	(Member $e0 have)
p200192	0.07614	0.06512	-0.21192	-0.07096	-0.27897	-0.04053	0.69851	0.04134	-0.10070	-0.02234	-0.06862	-0.13093	0.24627	-0.10584	0.71547	-0.28947	(Result $e0 $e1)
