pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.09631	0.53722	0.37350	-0.56935	-0.48628	0.32836	0.44534	-0.43272	-0.12046	0.46971	0.00834	0.43920	0.14861	-0.82007	0.18066	0.13124	0.46193	0.22764	-0.17954	0.49330	0.00104	0.00108	-0.05776	0.40623	-0.22600	-0.03763	-0.09579	-0.76710	-0.36926	0.08798	0.26616	-0.45919	0.15952	0.14357	-0.04972	0.40658	0.30630	-0.45784	-0.44945	-0.31239	0.08722	-0.01304	0.04621	0.18221	0.00106	0.78371	-0.11595	-0.15196	0.50500	-0.43771	-0.03858	-0.63942	0.43931	0.18367	-0.22139	0.19560	0.83559	0.09450	0.28308	1.13490	0.47168	0.19638	0.32406	-0.25742	(Past $e0)
p200009	0.23444	-0.16523	0.27481	0.00379	-0.56879	-0.05949	-0.15690	1.59210	0.03398	0.24288	0.06617	0.04451	-0.23418	-0.33764	-0.02651	-0.03131	-0.12828	-0.08955	0.10984	0.07730	0.01913	0.18078	-0.04813	0.13799	0.09855	0.06244	0.73737	-0.42983	-0.04096	0.00168	0.08023	-0.25945	0.47283	0.29148	-0.14550	-0.02937	-0.06703	-0.09221	-0.11830	0.19082	-0.17236	0.51900	-0.04280	0.12678	0.05419	-0.32784	-0.06750	0.07979	-0.20769	0.09871	0.00555	-0.31671	0.36183	0.10876	-0.00723	0.19843	-0.14901	0.15873	0.07254	-0.21654	0.03250	1.08763	0.46616	-0.01848	(Agent $e0 $x0)
p200011	-0.08936	0.00932	0.05234	-0.12918	0.04511	0.00947	0.03450	-0.01312	0.04373	0.01099	0.05283	-0.04983	0.06877	-0.24383	0.07826	-0.09103	-0.02779	0.09547	-0.07980	0.02112	2.43469	-0.15143	-0.01704	-0.10416	-0.00970	0.01644	-0.05206	0.08600	0.08825	-0.02379	0.02632	0.13799	0.22866	-0.06179	-0.01107	-0.06330	-0.04535	0.02238	-0.08621	-0.02734	0.01386	-0.04393	-0.01056	0.07232	0.17265	-0.06758	0.01618	0.17314	0.07009	0.06489	0.00427	0.06555	-0.06714	-0.06299	0.02043	-0.05554	-0.00619	0.08463	0.11111	-0.11240	-0.07458	-0.00445	-0.01484	0.00162	(Patient $e0 $x0)
p200012	0.04127	-0.01579	0.00149	-0.01470	0.09660	-0.03213	-0.06628	-0.04782	0.01612	-0.03910	0.02832	-0.02639	0.07712	0.01457	-0.02961	-0.00260	0.00312	0.00428	0.11421	-0.04126	-0.00346	0.04158	-0.03067	0.02321	0.01746	-0.03719	0.01974	0.13632	-0.06987	0.02281	-0.00186	-0.04500	0.04269	-0.08457	0.03624	-0.08668	0.09434	-0.08706	-0.04652	-0.00351	0.03842	0.03874	2.46141	0.03307	0.01166	-0.07029	0.01059	0.15850	-0.01448	0.00666	-0.00594	-0.07763	0.09983	0.01339	0.03362	-0.01661	-0.01044	0.06275	-0.06223	-0.01847	-0.03469	-0.00789	-0.00332	-0.02296	(Theme $e0 $x0)
p200025	0.15311	-0.18806	0.17595	-0.34357	-0.07698	0.07744	0.16573	-0.83052	-0.07345	-0.04427	0.01481	0.13900	0.04428	0.00769	-0.03023	-0.17334	0.05530	0.03798	0.01572	0.28408	0.00399	-0.06886	0.01837	-0.02675	0.26741	-0.02407	0.36224	-0.10246	-0.04538	0.05919	-0.11286	-0.18371	0.20610	0.08105	-0.00090	-0.02262	0.19910	-0.14647	-0.08416	-0.00870	-0.01056	0.29960	-0.02124	0.09573	0.09650	-0.13254	-0.00679	-0.20380	0.16481	0.10873	-0.04133	0.10071	-0.33390	0.21116	-0.02359	0.12575	-0.33356	-0.12144	0.08871	-0.44735	0.13625	0.91569	1.27815	-0.06213	(And (Agent $e0 $x0) (Past $e0))
p200030	0.22828	1.97186	0.07805	0.06559	-0.16267	-0.08042	-0.09084	0.02912	-0.09080	-0.00247	-0.02805	-0.10018	-0.02505	0.13972	-0.05474	0.00660	0.12144	0.07183	0.01385	-0.35466	0.31266	0.22414	-0.02636	0.16507	-0.02190	-0.16501	-0.04749	-0.23122	-0.15439	-0.02257	-0.01267	-0.26557	0.16255	0.07184	0.01052	0.03339	0.02149	0.12883	-0.02833	0.06335	-0.06270	-0.13177	0.02074	0.04504	-0.06075	-0.00375	-0.02286	0.16323	-0.01777	-0.01084	0.05445	0.26786	-0.00591	0.00432	-0.09482	-0.02650	-0.30079	-0.05023	-0.00468	-0.20431	0.04061	-0.10942	0.13643	0.01287	(And (Past $e0) (Patient $e0 $x0))
p200036	0.08328	-0.05928	0.07028	0.19351	-0.12070	2.10074	-0.07819	-0.02837	0.00625	0.06424	-0.09061	-0.01415	-0.01935	-0.01360	-0.04329	-0.00026	-0.03956	0.03659	-0.13341	-0.08048	0.01094	0.07290	-0.00620	-0.08732	0.08225	-0.07199	-0.16228	0.05549	0.10487	0.05066	-0.00873	0.00883	-0.03768	0.04301	-0.07781	0.05547	-0.15005	0.04955	0.05681	0.01523	0.00332	0.01688	0.28026	0.04469	-0.00681	-0.01998	-0.05721	0.00085	-0.07490	-0.04315	0.02872	0.01871	0.04258	0.01588	0.03174	-0.00489	-0.08965	-0.01592	0.02073	0.02844	-0.07205	0.08765	-0.13421	0.07457	(And (Past $e0) (Theme $e0 $x0))
p200038	-0.00610	0.02113	0.06967	-0.01873	0.06091	0.01754	-0.01411	-0.05157	0.04186	-0.01905	0.00595	0.10642	-0.05676	0.17985	0.07215	-0.02386	0.00147	0.01001	0.02209	0.03915	-0.02258	-0.04873	-0.00525	-0.00077	-0.00115	0.00225	0.07470	-0.03696	-0.00986	-0.07734	-0.05295	-0.08106	-0.06178	-0.05375	-0.01622	-0.03071	0.03088	-0.06232	0.03514	0.07781	0.04130	-0.03182	-0.01339	0.05383	-0.00389	0.03078	-0.01836	0.07179	-0.03781	-0.03467	2.27196	-0.00471	-0.01883	-0.06653	0.05831	-0.00261	-0.03492	0.00629	-0.04947	-0.00730	-0.00280	0.09193	-0.06047	0.02466	(Experiencer $e0 $x0)
p200040	0.29439	-0.00462	0.21716	0.12152	0.03892	0.00033	0.02491	-0.00208	0.00244	-0.00079	-0.09380	0.10290	0.07216	0.22643	-0.52859	1.16958	0.10156	0.08095	-0.12276	-0.00297	0.05762	-0.02260	-0.01051	0.06253	0.03248	0.74445	0.07445	0.05010	0.04750	0.39358	0.12319	-0.32588	-0.20183	-0.11056	0.06060	-0.33388	0.24219	-0.94570	0.50369	0.74139	-0.00813	0.02645	-0.02853	-0.09104	0.56447	0.09595	0.03002	0.06516	0.47522	-0.46001	-0.00309	-0.49208	-0.21897	-0.01194	0.25343	0.06385	-0.21752	-0.40631	0.32748	-0.09274	-0.47359	-0.05182	-0.15155	-0.10927	(Ongoing $e0)
p200048	-0.50908	0.03346	-0.16703	-0.10249	0.10873	-0.14288	0.08540	0.52741	-0.02404	-0.20486	0.28301	-0.04208	0.04561	-0.01838	0.20171	0.21065	0.01646	0.24534	-0.24934	-0.01247	-0.03527	-0.09225	-0.02610	0.19698	-0.19973	-0.21232	1.31044	0.18638	0.21052	-0.13971	-0.18940	-0.20937	0.14351	-0.10019	0.05720	-0.00468	0.10663	-0.14012	-0.04012	-0.09706	0.17022	-0.24093	0.28155	-0.18604	-0.15271	-0.03608	0.02540	-0.01830	-0.05528	-0.11703	-0.01711	0.18992	-0.12643	0.29501	-0.02706	-0.18859	0.02762	0.04681	0.17782	-0.00044	0.12204	-0.71384	0.47606	-0.00240	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	0.00449	0.00614	0.04950	-0.01653	-0.03363	-0.04057	-0.08220	-0.05144	-0.01392	0.02108	0.02666	0.05381	0.04445	-0.08167	-0.05866	-0.00723	-0.09580	-0.00003	-0.03983	-0.02586	-0.01270	0.02805	2.24716	0.06273	0.05295	0.02167	0.06467	-0.00322	0.07427	0.03786	-0.02939	-0.00619	-0.00452	0.00113	0.02899	0.00528	-0.07927	0.00086	-0.03835	0.03088	0.03759	0.01705	-0.01827	-0.03293	-0.01418	-0.02080	0.00648	0.04741	0.04614	-0.01047	0.00698	0.00975	0.06518	-0.00875	0.01578	-0.04909	0.08807	-0.02584	-0.04954	0.00804	-0.01179	-0.00684	0.01785	-0.03705	(Member $x0 thing)
p200051	0.09927	-0.03244	-0.09757	-0.20553	-0.12003	-0.10194	-0.07871	-0.00590	0.01463	-0.09791	-0.29941	0.15229	-0.67959	0.19973	-0.15781	-0.07402	-0.12768	1.29024	1.11675	-0.11866	0.03035	-0.16219	-0.03825	-0.01783	0.00821	0.00902	0.08875	0.26445	0.42556	0.06515	-0.06428	-0.03549	-0.01810	0.00306	0.07757	0.05779	-0.23739	-0.10696	0.13821	-0.23096	0.22982	-0.05130	-0.01298	0.36497	0.25786	0.12724	0.02108	-0.11311	0.06152	0.00457	0.00835	-0.01490	-0.02484	0.26651	0.19258	-0.34552	-0.04137	0.16227	-0.10604	0.42069	-0.22548	0.20855	-0.13374	0.00112	(Location $e0 $x0)
p200075	-0.62814	0.10278	-0.10448	-0.24295	0.25047	0.10089	-0.25645	0.43695	-0.01720	0.00359	-0.09325	0.21264	0.19147	0.04358	-0.10891	-0.03075	0.39906	-0.01437	-0.12713	0.00181	0.12225	-0.30010	-0.05616	0.06380	1.06118	-0.00289	-0.31109	0.36097	0.24939	0.12800	0.14215	0.07633	-0.38349	-0.08154	0.70348	0.14517	-0.25154	0.05955	-0.03726	0.03671	0.13409	-0.06004	-0.02355	-0.34602	-0.17375	0.16946	0.07590	0.08636	-0.13420	0.10266	-0.00001	-0.18982	-0.03290	-0.01614	0.00629	-0.17881	-0.13904	-0.16131	0.10072	0.01575	-0.01531	0.32790	0.24772	-0.53721	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	0.40209	-0.07733	-0.07801	-0.04794	0.06034	-0.01631	0.05600	0.05754	1.62321	-0.06376	-0.18253	-0.08635	0.08006	-0.05656	-0.03489	-0.07813	-0.03584	0.04760	0.06447	-0.07051	0.03396	0.13206	0.01504	-0.09879	0.08477	-0.00985	0.04792	-0.08673	-0.11132	0.03818	0.17624	-0.06847	0.03434	-0.02457	0.10423	0.05447	0.00527	-0.00546	0.15021	-0.04421	-0.03485	-0.10835	-0.00313	-0.05905	0.03722	0.11571	-0.01229	-0.11513	0.09382	-0.03090	-0.01056	0.09414	0.01073	0.04597	-0.05629	-0.11083	0.11461	0.00038	0.15338	0.00558	0.01015	-0.08210	0.07385	-0.09580	(Theme $e0 $e1)
