pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	0.23434	-0.08034	-0.06370	-0.00714	-0.13699	1.05675	0.32817	-0.07494	0.11374	1.40112	0.18591	1.70533	-0.07472	-0.22114	-0.59112	-0.00132	(Past $e0)
p200009	0.60224	-0.13941	2.04158	0.33642	0.17691	-0.33129	-0.52116	0.73851	0.36295	0.06731	-0.10297	0.08613	-0.27349	-0.50973	0.43255	-0.02958	(Agent $e0 $x0)
p200011	-0.40208	1.94687	-0.03776	-0.00540	0.02752	-0.45307	-0.60047	0.20943	0.24575	0.06373	-0.05421	0.30090	0.20375	0.08606	0.08654	0.10809	(Patient $e0 $x0)
p200012	-0.54134	0.00221	0.11503	1.26835	-0.25876	-0.08222	0.14993	0.24525	0.02285	0.64447	-0.51555	-0.42127	1.14562	-0.61857	0.51565	-0.07375	(Theme $e0 $x0)
p200025	0.21211	-0.19751	1.02171	-0.23560	0.33225	1.14665	-0.35048	-0.01454	-0.00224	-0.33170	0.37510	0.30318	-0.08752	0.21061	0.17135	-0.04643	(And (Agent $e0 $x0) (Past $e0))
p200030	-0.38657	1.22475	-0.05242	0.21300	-0.11566	-0.17046	-0.06979	-0.17332	0.19437	0.00016	0.21767	0.67553	-0.19727	-0.32938	0.09855	0.05698	(And (Past $e0) (Patient $e0 $x0))
p200036	-0.28835	-0.05852	-0.19618	0.35837	-0.00434	1.01887	-0.27993	0.01163	-0.11657	0.27646	-0.30672	-0.25455	0.97951	0.08036	-0.25305	-0.07254	(And (Past $e0) (Theme $e0 $x0))
p200038	-0.17457	-0.11483	-0.01418	0.28518	1.61341	-0.56376	1.08073	0.11989	-0.12842	-0.21802	0.34430	0.27321	0.34112	-0.06942	-0.79540	-0.14895	(Experiencer $e0 $x0)
p200040	-0.04453	0.20623	0.00394	-0.49894	-0.09859	-0.04030	0.29483	1.47086	-0.40471	0.37428	-0.25792	-0.21781	-0.06927	0.95059	-0.23240	0.23302	(Ongoing $e0)
p200048	-0.38338	-0.10739	0.27133	0.75759	0.03847	-0.16234	-0.09876	0.67569	0.24712	-0.24731	-0.01736	0.08425	0.33230	-0.46531	-0.13324	-0.20417	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	0.18158	-0.00331	-0.33177	0.48678	0.00239	-0.08497	-0.06171	0.07247	0.50945	-0.18674	-0.06826	0.03658	-0.05171	-0.19140	0.04746	0.05154	(Member $x0 thing)
p200051	0.31153	-0.13231	-0.09157	0.17293	0.26427	-0.26179	-0.43044	0.01873	-0.42452	0.25053	-0.08342	0.04862	0.01277	-0.19559	0.17742	1.68903	(Location $e0 $x0)
