pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	-0.31816	1.25836	-0.40147	-0.23665	-0.38331	-1.38605	-0.10901	-0.30538	1.27245	-0.20779	0.27812	-0.87970	0.48176	0.36358	0.44462	1.00649	(Agent $e0 $x0)
p200008	-0.53990	0.92590	0.25867	0.46222	-0.87951	-0.52050	-2.13473	-0.05085	0.09252	-0.03181	-0.05005	0.70932	0.57542	0.20286	-0.08010	-0.34649	(Theme $e0 $x0)
p200013	-0.27309	0.06427	1.96981	-0.70605	-0.03933	0.00118	-0.30055	0.20979	-0.18841	-0.25279	0.49395	-0.14591	0.74079	-0.37386	0.44491	0.09967	(Past $e0)
p200015	-0.21473	1.06970	-0.10836	0.22234	-0.18098	-0.30287	-0.99178	-0.40256	-0.03112	-0.08223	-0.07937	0.02746	0.06294	0.97185	-0.13635	0.03561	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200022	-0.09894	-0.17503	-0.03413	-0.39600	1.06438	-0.38567	-0.35631	-0.41399	0.18100	-0.18325	1.29136	-0.41009	0.12946	-0.22950	-0.32110	0.44560	(Patient $e0 $x0)
p200033	-0.10511	0.04057	0.32291	-0.34255	0.06593	-0.18826	0.25284	-0.05356	0.33146	0.11882	-0.36940	-0.48515	0.86270	0.17630	0.45172	0.59111	(And (Agent $e0 $x0) (Past $e0))
p200039	0.60559	-0.41174	-0.11905	0.20493	-0.38701	0.10851	-0.18353	0.05921	0.17889	-0.20383	0.41872	-0.01614	-0.28147	0.12495	1.20660	-0.08353	(Location $e0 $x0)
p200041	-0.03650	-0.11825	0.57611	-0.38260	-0.33831	0.13205	-0.42926	0.42536	-0.03351	-0.04782	-0.12040	0.30419	0.45620	0.45925	-0.24547	-0.01788	(And (Past $e0) (Theme $e0 $x0))
p200049	0.04844	-0.05753	0.45450	0.13031	0.97488	-0.13391	-0.37192	-0.30609	-0.18070	0.01041	0.60347	-0.28104	0.12270	-0.15388	0.02127	-0.00636	(And (Past $e0) (Patient $e0 $x0))
p200051	-0.15631	-0.02977	-0.06831	0.12292	-0.01063	0.61096	-0.20373	-0.23714	0.74116	0.21251	0.12736	0.44640	0.27200	-0.33420	0.15353	-0.64172	(Cardinality $x0 <num>)
p200053	0.07872	-0.25702	-0.33320	-0.01310	0.41883	-0.37695	-0.34626	-0.20513	0.41646	0.11874	0.07574	-0.41701	0.36973	-0.28989	0.09327	0.55133	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200070	-0.22122	0.23561	0.16753	-0.21193	-0.15554	-0.15024	0.23840	0.01717	0.08949	-0.08748	-0.05739	-0.10734	0.13904	-0.23952	0.16054	0.08501	(Member $x0 person)
p200071	0.32579	0.43327	0.03893	-0.00828	-0.19402	0.45178	-0.19271	0.13687	-0.18304	0.41284	0.21144	-0.29414	-0.10921	-0.20972	-0.09077	0.13367	(Recipient $e0 $x0)
p200073	-0.01049	-0.08808	0.10915	-0.30111	-0.00384	0.17762	0.09108	0.13920	0.05995	0.06396	-0.06324	-0.03177	0.25370	0.74596	-0.25853	0.09760	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200076	0.06990	-0.09388	0.10800	0.06461	0.01710	0.15354	0.09596	0.05670	-0.10223	-0.01478	-0.07435	-0.00042	-0.07368	-0.06092	0.18004	-0.08354	(Experiencer $e0 $x0)
p200089	-0.24913	0.20292	0.08683	-0.06291	-0.12027	-0.20812	0.12922	0.09350	0.18350	-0.08666	-0.01483	-0.04137	0.11858	-0.15075	-0.05206	0.01176	(Possession $x0 $x1)
p200091	0.22251	0.35570	0.04589	0.06096	-0.19178	0.46660	-0.28144	0.08569	-0.17783	0.30197	0.17499	-0.24106	-0.09117	-0.19292	-0.04608	0.17244	(And (Recipient $e0 $x0) (Theme $e0 $x1))
p200099	0.29050	0.45670	-0.00457	0.00176	-0.13806	0.39446	-0.13795	0.15350	-0.20728	0.36620	0.23474	-0.28182	-0.13989	-0.14299	-0.08493	0.17376	(And (Agent $e0 $x0) (Recipient $e0 $x1))
p200103	0.05567	0.09007	-0.08219	0.01490	0.04973	-0.10369	-0.00979	0.02038	0.09581	-0.02340	0.07948	0.03300	-0.10577	0.09308	0.03028	-0.07201	(Might $e0)
p200125	0.37532	-0.22327	-0.15097	0.08575	-0.27370	-0.07567	-0.17214	0.00568	0.27994	-0.15691	0.49435	-0.07070	-0.15174	0.14307	0.70179	0.00339	(And (Agent $e0 $x0) (Location $e0 $x1))
p200136	0.20681	0.36920	0.00182	0.07246	-0.13590	0.42379	-0.20685	0.09514	-0.20813	0.26282	0.18608	-0.23767	-0.12461	-0.13146	-0.04607	0.21163	(And (Agent $e0 $x0) (Recipient $e0 $x1) (Theme $e0 $x2))
p200147	-0.12234	-0.11831	0.02834	-0.01691	-0.17708	0.49409	-0.29537	0.01120	0.48603	0.19892	0.00447	-0.05658	0.12012	-0.16054	-0.02449	-0.24175	(And (Cardinality $x0 <num>) (Theme $e0 $x0))
p200159	0.27305	-0.19013	-0.03029	0.32781	0.48380	-0.15165	-0.27674	-0.23258	0.06323	0.18730	-0.35933	-0.26937	0.32629	-0.18634	0.23598	0.19010	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200170	0.03009	0.11410	-0.05906	0.01707	0.03193	-0.13085	-0.02845	0.01095	0.08614	-0.00713	0.05283	0.01990	-0.08877	0.08674	0.02835	-0.06326	(And (Agent $e0 $x0) (Might $e0))
p200191	-0.34500	0.32839	0.20140	-0.29282	-0.18228	-0.12799	0.38011	-0.04418	-0.03432	-0.06823	-0.13578	-0.08378	0.15195	-0.22884	0.47128	0.16312	(And (Agent $e0 $x0) (Member $x0 person))
