pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	0.24590	-0.87128	-0.10149	-0.97838	0.35057	0.53865	0.39816	-0.78687	-0.49786	-0.10310	1.27800	-0.38779	0.33971	1.66991	0.10788	-0.49691	(Agent $e0 $x0)
p200008	0.83423	-0.00641	0.33684	-0.51399	-0.73120	0.85351	0.78514	-0.70449	0.61984	0.00471	-0.16971	-0.28821	0.55253	-0.19283	0.11493	-2.32176	(Theme $e0 $x0)
p200013	0.13750	-0.03611	1.42846	-0.05524	0.42241	-0.23366	-0.08460	-0.00125	0.31353	1.58663	0.09078	0.09262	-0.36746	-0.15913	-0.24023	-0.23743	(Past $e0)
p200015	0.45083	-0.12088	-0.21068	-0.63133	-0.80978	0.51657	0.88388	-0.02581	-0.16813	0.15162	0.32136	-0.69440	0.75476	0.05398	-0.16611	-1.06867	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200022	-1.07003	-0.42580	0.55710	-0.26790	-0.11601	-0.10440	-0.11960	0.07780	-0.10520	0.26637	0.21448	-1.49849	0.07340	0.08207	1.40437	0.28728	(Patient $e0 $x0)
p200033	0.26654	0.41086	-0.06497	-0.12847	0.51926	-0.17086	0.20183	-0.41883	0.11756	0.46830	1.01621	0.29724	-0.18261	0.22735	-0.12911	0.18079	(And (Agent $e0 $x0) (Past $e0))
p200039	-0.36864	-0.11561	0.20077	0.25754	1.08828	-0.30566	-0.46974	0.19789	0.11859	-0.40267	-0.03284	0.09432	0.94965	-0.13901	0.22394	-0.39541	(Location $e0 $x0)
p200041	0.18447	0.35710	0.81479	0.21527	-0.33065	-0.18931	0.42817	-0.16786	0.28047	-0.06852	0.21544	0.44943	0.06884	-0.08269	-0.26672	-0.58658	(And (Past $e0) (Theme $e0 $x0))
p200049	-0.53033	-0.02552	0.13376	-0.28624	-0.11514	0.03429	-0.06646	0.19224	0.16464	1.00241	-0.24751	-0.60097	0.23176	-0.25141	0.82988	0.16171	(And (Past $e0) (Patient $e0 $x0))
p200051	0.38084	-0.32829	-0.20196	0.46239	0.20840	-0.19970	-0.06470	0.19795	0.84565	-0.16730	0.02301	-0.35458	-0.28313	-0.02805	0.43328	-0.45161	(Cardinality $x0 <num>)
p200053	-0.61596	0.35685	-0.13181	-0.46360	0.23547	0.00319	0.12322	-0.47482	0.06445	-0.19555	0.56621	-0.19789	-0.00584	0.21301	0.79623	0.17091	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200070	0.23421	-0.40670	-0.00292	-0.03961	0.19410	0.11459	-0.24845	-0.06247	-0.06103	0.26157	0.20848	0.00762	-0.23364	0.12785	-0.25195	0.10022	(Member $x0 person)
